Algorithm,Data Type,Case,Time (ns)
Bubble,int,Random,158536500
Selection,int,Random,135251800
Insertion,int,Random,131227700
Merge,int,Random,123446900
Quick,int,Random,126903400
Merge_LL,int,Random,249610500
Bubble,int,Sorted,134541300
Selection,int,Sorted,134098500
Insertion,int,Sorted,120669300
Merge,int,Sorted,120865300
Quick,int,Sorted,117996300
Merge_LL,int,Sorted,240573600
Bubble,int,Reverse,155180700
Selection,int,Reverse,134874800
Insertion,int,Reverse,142595000
Merge,int,Reverse,128411400
Quick,int,Reverse,120004200
Merge_LL,int,Reverse,247583000
Bubble,int,Almost,135108200
Selection,int,Almost,142710600
Insertion,int,Almost,120791700
Merge,int,Almost,130175200
Quick,int,Almost,125629600
Merge_LL,int,Almost,264987900
Bubble,int,Flat,145549000
Selection,int,Flat,150915100
Insertion,int,Flat,130598200
Merge,int,Flat,141141700
Quick,int,Flat,127852300
Merge_LL,int,Flat,257910100
Bubble,float,Random,149019900
Selection,float,Random,157446700
Insertion,float,Random,172059000
Merge,float,Random,135881100
Quick,float,Random,138324200
Merge_LL,float,Random,291605700
Bubble,float,Sorted,137211200
Selection,float,Sorted,152706600
Insertion,float,Sorted,124430800
Merge,float,Sorted,137732800
Quick,float,Sorted,154550100
Merge_LL,float,Sorted,288547300
Bubble,float,Reverse,166804800
Selection,float,Reverse,150366100
Insertion,float,Reverse,173842000
Merge,float,Reverse,159907500
Quick,float,Reverse,144042600
Merge_LL,float,Reverse,284775700
Bubble,float,Almost,177733500
Selection,float,Almost,167004000
Insertion,float,Almost,142449300
Merge,float,Almost,150825400
Quick,float,Almost,140798900
Merge_LL,float,Almost,276910500
Bubble,float,Flat,151899500
Selection,float,Flat,162242300
Insertion,float,Flat,144799800
Merge,float,Flat,137694200
Quick,float,Flat,128079800
Merge_LL,float,Flat,263519200
Bubble,string,Random,176583800
Selection,string,Random,151857900
Insertion,string,Random,154016400
Merge,string,Random,140952700
Quick,string,Random,136755300
Merge_LL,string,Random,272319500
Bubble,string,Sorted,173931500
Selection,string,Sorted,147361600
Insertion,string,Sorted,141405800
Merge,string,Sorted,129601000
Quick,string,Sorted,138813000
Merge_LL,string,Sorted,269646600
Bubble,string,Reverse,187159400
Selection,string,Reverse,149485800
Insertion,string,Reverse,167577600
Merge,string,Reverse,127466200
Quick,string,Reverse,131860600
Merge_LL,string,Reverse,255187500
Bubble,string,Almost,155461400
Selection,string,Almost,142054200
Insertion,string,Almost,150326500
Merge,string,Almost,142225600
Quick,string,Almost,152460500
Merge_LL,string,Almost,278034200
Bubble,string,Flat,165692400
Selection,string,Flat,138589900
Insertion,string,Flat,141931200
Merge,string,Flat,120994400
Quick,string,Flat,131464900
Merge_LL,string,Flat,253811500
